Title,Description,Url,Started On,Finished On
Hatfield Consultants website,Corporate website for Hatfield Consultants Partnership,http://www.hatfieldgroup.com,Sep 2012,Jul 2014
Southern African Development Community website content,Website for the Southern African Development Community,http://www.sadc.int/themes/economic-development/,Aug 2012,Dec 2012
Wencomine.com,Corporate website for Wenco International Mining Systems,www.wencomine.com,Jul 2014,May 2022
The Wenco Guide to Machine Guidance for Mine Contractors,"The Wenco Guide to Machine Guidance for Mine Contractors details the most important information for contractors to know about machine guidance. Inside, you'll learn how machine guidance works; the top 3 ways contractors use machine guidance to raise their profitability; the most common questions users have about machine guidance; and how this simple technology lowers wait times, automates data collection, and helps you land more contracts than ever before.",https://www.wencomine.com/case-studies-and-white-papers/the-wenco-guide-to-machine-guidance-for-mine-contractors,Jun 2021,Aug 2021
The Interoperability Advantage: How Mining Gains from Open Platform Technologies,"The integration of information technology into regular business processes has proven transformative for the mining industry in the 21st century. Yet, the current prevalence of siloed systems hampers the industry’s potential for growth and its ability to take full advantage of emerging technologies for further productivity and efficiency. To implement Big Data, IoT, and autonomous vehicle platforms into mining processes effectively, mining corporations must develop systems and workflows to facilitate discrete technologies working interoperably. This paper presents an overview of the current state of technological interoperability across the mining industry, then highlights opportunities for improvement available through its maturation. With a clearly defined vision of robust interoperability in mining, this paper then details current systems and methods available to bring this vision to fruition.",https://www.wencomine.com/case-studies-and-white-papers/the-interoperability-advantage-how-mining-gains-from-open-platform-technologies,Feb 2018,Apr 2018
Business Intelligence and Mining: Implementation Issues and Propositions to Address Them,"The capacity for extensive data collection has transformed many industries in recent years, including mining. Yet, this wealth of data presents a new challenge: how to make sense of it. While industries such as retail have successfully incorporated off-the-shelf business intelligence platforms, mining has struggled. Historically, these solutions have proved ineffective at handling the types of data required for mining analytics, such as the large degree of geospatial records. Likewise, visualization components of these solutions lacked turnkey dashboards practical for mining, particularly in terms of mapping and location reporting. Custom configuration of these systems greatly increased their demand on resources and added a further barrier to their implementation. This paper discusses the issues interfering with the adoption of business intelligence by the mining industry. Then, it proposes parameters for a mining-specific solution designed to reduce configuration time, demands on technical support, and logistical hurdles involved with integrating business intelligence into mining.",https://www.wencomine.com/case-studies-and-white-papers/business-intelligence-and-mining-implementation-issues-and-propositions-to-address-them,Nov 2016,Feb 2017
Knowledge Transfer at Mines: How E-Learning Technology Can Ease the Burden,"Knowledge management is a growing concern for mining and other heavy industries. Many operations in these fields subsist through ad hoc decisions and institutional knowledge held by experienced personnel. However, these fields also see significant turnover as personnel retire, advance into senior roles, or migrate to other sites and operations. An aging workforce only compounds this issue. This regular turnover contributes to the vulnerability of institutional knowledge and... may reduce the efficacy of these operations as a whole. As a result, facilitating the transfer of knowledge presents a major challenge for mining operations and their human resource departments. This paper demonstrates the potential for technological solutions – in particular, e-learning software – to mitigate the impact of personnel changes in mining. It shows how e-learning creates knowledge redundancy, eases knowledge transfer, and contributes to a continuity of institutional information as junior personnel move into key roles at mines.",https://www.wencomine.com/case-studies-and-white-papers/knowledge-transfer-at-mines-how-e-learning-technology-can-ease-the-burden,Nov 2016,Feb 2017
Increasing Productivity and Conserving Person-Hours Through Automated Fuel Dispatching at Sierra Gorda,"The fueling process at mines takes working equipment away from production, reducing productivity by hundreds of hours each year. KGHM’s Sierra Gorda mine uses an automated dispatching service – Wenco Fuel Dispatch – to handle fueling of its fleet of 58 Komatsu 930E haul trucks. Through automating its fueling, the mine has increased its average fill volumes from 3,400 litres to 3,900 litres per fuel session, with projections to reach 4,200 litres in the near future. At a burn rate of 260 litres per hour, each truck now has the potential to stay in production an average of 1.92 hours longer before fueling. Use of automated dispatching has also allowed Sierra Gorda to reduce wait times at fuel stations by 10%, further shrinking unproductive time. Moreover, automated dispatching has enabled the mine to redirect its full-time fueling dispatcher to other tasks, thereby conserving one full-time crew member. This paper discusses how implementation of Wenco Fuel Dispatch contributed to increased production time and more robust productivity at Sierra Gorda mine.",https://www.wencomine.com/case-studies-and-white-papers/increasing-productivity-and-conserving-person-hours-through-automated-fuel-dispatching-at-sierra-gorda,Sep 2017,Feb 2018
"Golden Queen Mining Gets Tighter Cycles, More Loads with Wenco","Watch how Golden Queen Mining Company gets tighter cycles, more loads, and more production with the Wenco fleet management system.",https://www.wencomine.com/videos/golden-queen-mining-gets-tighter-cycles-more-loads-with-wenco,May 2021,Sep 2021
Tata Steel and the Integrated Digital Mine,"See how the ore mines and quarries division of Tata Steel, India’s leading steel manufacturer, uses Wenco solutions to integrate their digital systems, improve productivity, and benchmark themselves with the best mines in the world.",https://www.wencomine.com/videos/tata-steel-and-the-integrated-digital-mine,Jun 2019,Jan 2020
Webinar — A Matter of Seconds: How to Extract More Value from Your Mine Every Shift,"In A Matter of Seconds: How to Extract More Value from Your Mine Every Shift, Hal Galbraith, mining industry veteran and manager of Wenco’s Mining Centre of Excellence, walks through the Wenco approach to auditing mines for optimal performance. Drawing on his 37 years of hands-on experience in mine optimization, Galbraith discusses the biggest pitfalls for efficiency in daily mine operations. Then, he shows how conserving even a few seconds in key areas can uncover millions of dollars in additional value each year.",https://www.wencomine.com/videos/webinar-a-matter-of-seconds-how-to-extract-more-value-from-your-mine-every-shift,May 2020,Jul 2020
The State of AI in the Utility Industry,"In The State of AI in the Utility Industry, Urbint and Studio ID surveyed 150 of today’s utility leaders on how emerging technology is helping them navigate this crucial juncture. The report details their biggest challenges, priorities for the future, and trends they see influencing adoption of AI and predictive analytics to mitigate the risk facing the industry.",https://www.urbint.com/campaign/white-paper-the-state-of-ai-in-the-utility-industry,Jun 2022,Mar 2023
Urbint Blog,"Corporate blog for Urbint, covering topics around worker safety, vegetation management, energy-based hazard recognition, and damage prevention for underground infrastructure.",https://www.urbint.com/blog,Jun 2022,May 2023
"More Digging, More Damage: How Utilities Are Preparing for the Infrastructure Investment and Jobs Act","There is still a lot to be determined about the $1.2 trillion Infrastructure Investment and Jobs Act (IIJA). Still, one thing is sure - more construction leads to increased asset risk and more damage to existing utility assets. To mark this year’s 811 Day, we assembled a panel of thought leaders in utility damage prevention to hear how the IIJA has influenced their plans and preparations for preventing damage from the coming surge in nationwide construction and infrastructure upgrades.",https://www.urbint.com/campaign/webinar-more-digging-more-damage-registration,Jul 2022,Aug 2022
Setting The Energy Wheel in Motion,"Watch our session to learn how utilities are using Urbint to put the Energy Wheel into action. Our Director of Safety Operations James Upton and Director of Risk Operations Sonam Kala show how Urbint uses the concepts of the Energy Wheel and energy-based hazard recognition to provide clear, actionable insights throughout the operations workflow — so managers, supervisors, field crews, and inspectors can prevent SIFs and keep their workers safe.",https://www.urbint.com/campaign/webinar-setting-the-energy-wheel-in-motion,Nov 2022,Dec 2022
Life-Saving Job Briefings: How Work Safety Plans Can Eliminate Serious Injuries and Fatalities,"In this session, we talk to utility safety veterans about their experience with job safety briefings. We discuss best practices, lessons learned, and real-world strategies for turning this routine task into a practice that saves even more workers’ lives.",https://www.urbint.com/campaign/webinar-life-saving-job-briefings,Jan 2023,Mar 2023
SEMCO Energy cuts third-party damages over 20%,"Since 2020, SEMCO Energy has used Urbint solutions to reduce third-party damages to its pipelines up to 40% in certain territories. With Urbint, SEMCO has empowered its damage prevention team to target high-risk 811 tickets and adopt a proactive approach to working with excavators. The partnership has resulted in fewer damages to utility infrastructure and a stronger relationship with third-party excavators across Michigan.",https://www.urbint.com/case-studies/semco-energy-damage-prevention,Jan 2023,Mar 2023
National Grid identifies 35% more hazards with Urbint for Worker Safety,"Since 2021, National Grid has used Urbint for Worker Safety to protect workers at gas complex construction projects in the Northeastern United States. Through the study period ending in early 2022, utility supervisors and field teams successfully identified 35% more hazards using Urbint than inspectors and contractors previously identified without Urbint. In turn, the improved hazard recognition empowered those crews to implement 44% more direct controls, creating capacity to fail safely and preventing serious injuries and fatalities (SIFs).",https://www.urbint.com/case-studies/national-grid-worker-safety,Jan 2023,May 2023
Striveworks Blog,"Corporate blog for Striveworks, discussing topics related to AI/ML, including MLOps, model drift, retraining, dataset curation, data lineage, text classification, geospatial analysis, etc.",,Sep 2023,Jul 2024
Model Drift and The Day 3 Problem,A white paper discussing model drift — the pernicious and persistent problem of AI models failing to work over time (and what to do about it).,,Feb 2024,Apr 2024
